feature_name,domain,source_table,freq,entity_key,time_key,source_columns,formula_desc,unit_type,value_type,allow_in_alphaprobe,allow_in_model,fill_policy,clip_policy,neutralize_policy,start_date,notes
ret_cc_1d,A,daily,daily,ts_code,trade_date,"close, pre_close",close/pre_close - 1,ratio,float,1,1,none,clip_1_99,none,,Daily close-to-close return
ret_oc_1d,A,daily,daily,ts_code,trade_date,"close, open",close/open - 1,ratio,float,1,1,none,none,none,,Intraday return (Open to Close)
gap_open,A,daily,daily,ts_code,trade_date,"open, pre_close",open/pre_close - 1,ratio,float,1,1,none,clip_1_99,none,,Overnight gap
intraday_range,A,daily,daily,ts_code,trade_date,"high, low, pre_close",(high-low)/(pre_close + epsilon),ratio,float,1,1,none,clip_1_99,none,,True range normalized
upper_shadow_ratio,A,daily,daily,ts_code,trade_date,"high, open, close, low","(high-max(open,close))/(high-low+epsilon)",ratio,float,1,1,none,none,none,,Upper shadow strength
lower_shadow_ratio,A,daily,daily,ts_code,trade_date,"high, open, close, low","(min(open,close)-low)/(high-low+epsilon)",ratio,float,1,1,none,none,none,,Lower shadow strength
turnover_free,A,daily_basic,daily,ts_code,trade_date,turnover_rate_f,turnover_rate_f / 100,ratio,float,1,1,none,none,optional_cs,,Free float turnover rate
volume_ratio_ln,A,daily_basic,daily,ts_code,trade_date,volume_ratio,log(1 + volume_ratio),ratio,float,1,1,none,none,optional_cs,,Log volume ratio
imb_sm_amt,B,moneyflow,daily,ts_code,trade_date,"buy_sm_amount, sell_sm_amount",(buy_sm - sell_sm) / (buy_sm + sell_sm + eps),ratio,float,1,1,zero_if_both_zero_else_nan,none,none,20100101,Small order imbalance
imb_md_amt,B,moneyflow,daily,ts_code,trade_date,"buy_md_amount, sell_md_amount",(buy_md - sell_md) / (buy_md + sell_md + eps),ratio,float,1,1,zero_if_both_zero_else_nan,none,none,20100101,Medium order imbalance
imb_lg_amt,B,moneyflow,daily,ts_code,trade_date,"buy_lg_amount, sell_lg_amount",(buy_lg - sell_lg) / (buy_lg + sell_lg + eps),ratio,float,1,1,zero_if_both_zero_else_nan,none,none,20100101,Large order imbalance
imb_elg_amt,B,moneyflow,daily,ts_code,trade_date,"buy_elg_amount, sell_elg_amount",(buy_elg - sell_elg) / (buy_elg + sell_elg + eps),ratio,float,1,1,zero_if_both_zero_else_nan,none,none,20100101,Extra large order imbalance
net_mf_to_amount,B,"moneyflow, daily",daily,ts_code,trade_date,"net_mf_amount, amount",net_mf_amount / (amount + eps),ratio,float,1,1,nan_if_amount_zero,clip_1_99,optional_cs,20100101,Net moneyflow ratio. Note unit conversion needed.
large_buy_share,B,moneyflow,daily,ts_code,trade_date,"buy_lg, buy_elg, buy_sm, buy_md",(lg+elg)/total_buy,ratio,float,1,1,none,none,none,20100101,Share of large buy orders
large_sell_share,B,moneyflow,daily,ts_code,trade_date,"sell_lg, sell_elg, sell_sm, sell_md",(lg+elg)/total_sell,ratio,float,1,1,none,none,none,20100101,Share of large sell orders
flow_divergence,B,moneyflow,daily,ts_code,trade_date,"imb_elg_amt, imb_sm_amt",imb_elg_amt - imb_sm_amt,ratio,float,1,1,none,none,none,20100101,Divergence between ELG and Small orders
close_vs_cost50,C,"cyq_perf, daily",daily,ts_code,trade_date,"close, cost_50pct",(close - cost_50pct) / (close + eps),ratio,float,1,1,ffill_1d_if_single_gap,none,none,20180101,Price vs Median Cost
